المؤشر العقاري لمدينة مكة المكرمة  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,مكة المكرمة,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,,,
الشهر,تصنيف العقار,نوع العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,
مارس,زراعي,,5817375,152971.411,23,640000,1556.2,2,1825100,551.87,3,73573005,139429.61,161,,,
مارس,زراعي,قطعة أرض,1708000,13640.520999999999,10,550000,1046.91,1,1825100,551.87,3,73123005,47103.71999999997,160,,,
مارس,زراعي,أرض زراعية,4109375,139330.88999999998,13,90000,509.29,1,,,,450000,92325.89,1,,,
ابريل,,,930020257,634460.2873999998,745,781873074,466711.7705000001,772,91205754,38157.88900000001,98,452475110,767147.1719999999,473,,,
ابريل,سكني,,877292074,581602.7393999998,700,701501227,364956.7605000001,729,86209164,36032.94900000001,94,346699546,515794.5150000001,304,,,
ابريل,سكني,قطعة أرض,578613193,500790.42939999985,540,609917036,323547.5405000001,538,61806895,28601.749000000003,56,332937116,501873.93000000005,270,,,
ابريل,سكني,فيلا,8790000,3620,9,6200000,4400,11,1450000,400,1,350000,400,1,,,
ابريل,سكني,شقة,72854881,25250.550000000003,146,84354191,26614.719999999983,177,22952269,7031.200000000003,37,13222430,3520.585000000001,32,,,
ابريل,سكني,بيت,330000,579.89,2,830000,800,2,,,,,,,,,
ابريل,سكني,مرفق,704000,1074,2,200000,9594.5,1,,,,,,,,,
ابريل,سكني,أرض زراعية,216000000,50287.87,1,,,,,,,190000,10000,1,,,
